AC	33.58	5.08	180.00	3-644755-2	TE_3-644755-2
BAT_IN	68.52	7.68	0.00	282837-2	TE_282837-2
BAT_OUT	54.04	7.68	0.00	282841-3	TE_282841-3
C1	128.25	57.60	0.00	0.1	CAPRR508W50L508T317H508
C2	109.68	19.47	180.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C3	128.25	46.20	0.00	0.1	CAPRR508W50L508T317H508
C5	78.74	20.32	270.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C6	78.74	7.62	270.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C7	67.88	15.56	0.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C8	53.66	15.08	180.00	SR215C104KARTR1	CAPRR508W50L508T317H508
DHT22_1	90.17	7.68	0.00	282841-3	TE_282841-3
DHT22_2	90.17	20.32	0.00	282841-3	TE_282841-3
LED1	128.25	51.90	0.00	WS2812B5050	WS2812B
LED2	128.25	40.70	0.00	WS2812B5050	WS2812B
PS1	13.97	19.49	90.00	HLK-5M05	CONV_HLK-5M05
R1	30.81	65.95	0.00	1k	RESAD1590W60L630D240
R2	28.27	61.00	0.00	1k	RESAD1590W60L630D240
R3	50.65	55.80	0.00	10k	RESAD1590W60L630D240
R4	50.65	60.70	0.00	10k	RESAD1590W60L630D240
R5	128.10	20.75	90.00	10k	RESAD1590W60L630D240
RST	130.80	7.68	0.00	282837-2	TE_282837-2
S1	120.40	70.90	0.00	DS01-254-S-02BE	SW_DS01-254-S-02BE
TSL2561	110.73	7.68	0.00	282837-4	TE_282837-4
U$1	29.21	60.96	0.00	LILYGO-CALL	LILYGO-CALL
U$2	58.51	27.88	180.00	MP1484-BOARD	MP1484-BOARD
