AC	33.58	5.08	180.00	3-644755-2	TE_3-644755-2
BAT_IN	58.42	35.56	0.00	282837-2	TE_282837-2
BAT_IN1	69.85	7.62	0.00	282837-2	TE_282837-2
BAT_OUT	54.04	7.73	0.00	282841-3	TE_282841-3
C1	9.23	51.30	180.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C2	128.33	7.58	270.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C3	128.27	20.32	270.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C4	128.27	31.75	270.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C5	78.74	20.32	270.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C6	78.74	7.62	270.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C7	58.42	27.94	180.00	SR215C104KARTR1	CAPRR508W50L508T317H508
C8	48.26	17.78	180.00	SR215C104KARTR1	CAPRR508W50L508T317H508
DHT22_1	90.17	7.62	0.00	282841-3	TE_282841-3
DHT22_2	90.17	20.32	0.00	282841-3	TE_282841-3
I2C_1	113.03	20.32	0.00	282837-4	TE_282837-4
I2C_2	113.03	31.75	0.00	282837-4	TE_282837-4
PS1	13.97	21.59	90.00	HLK-5M05	CONV_HLK-5M05
R1	30.81	65.95	0.00	4.7k	RESAD1590W60L630D240
R2	28.27	61.00	0.00	4.7k	RESAD1590W60L630D240
R3	50.65	55.80	0.00	4.7k	RESAD1590W60L630D240
R4	50.65	60.70	0.00	4.7k	RESAD1590W60L630D240
S1	120.40	70.90	0.00	DS01-254-S-02BE	SW_DS01-254-S-02BE
TSL2561	113.03	7.62	0.00	282837-4	TE_282837-4
U$1	29.21	60.96	0.00	LILYGO-CALL	LILYGO-CALL
U1	82.55	59.69	0.00	DIP-TRANS-8NPN-DARL-50V-0.5A-ULN2803(DIP18)	DIP18-2.54-22.8X7.62MM
